Column1,Average population[86],Live  births[87],Deaths,Natural change,Crude  birth rate  (per 1000),Crude  death rate  (per 1000),Natural change  (per 1000),Total Fertility Rate[fn 2][36][62]
,,,,,,,,
1900,41154600,1089487,695867,393620,26.5,16.9,9.6,3.53
1901,41538200,1092781,655646,437135,26.3,15.8,10.5,3.49
1902,41892700,1103483,636650,466833,26.3,15.2,11.1,3.44
1903,42246600,1113086,613726,499360,26.3,14.5,11.8,3.4
1904,42611400,1109542,651301,458241,26,15.3,10.8,3.35
1905,42980800,1092108,617516,474592,25.4,14.4,11,3.3
1906,43361100,1098475,629955,468520,25.3,14.5,10.8,3.24
1907,43737800,1077851,625271,452580,24.6,14.3,10.3,3.19
1908,44123800,1102345,621427,480918,25,14.1,10.9,3.14
1909,44519500,1073781,614910,458871,24.1,13.8,10.3,3.07
1910,44915900,1051240,578091,473149,23.4,12.9,10.5,2.99
1911,42189800,1033395,620828,412567,24.5,14.7,9.8,2.92
1912,,1025828,580977,444851,24.2,13.7,10.5,2.9
1913,42582300,1032286,600554,431732,24.2,14.1,10.1,2.93
1914,42956900,1032734,611970,420764,24,14.2,9.8,2.88
1915,41361500,956877,666322,290555,23.1,16.1,7,2.59
1916,40536300,922085,599621,322464,22.7,14.8,8,2.6
1917,39780700,790736,589416,201320,19.9,14.8,5.1,2.1
1918,39582000,787427,715246,72181,19.9,18.1,1.8,2.03
1919,42944100,826202,602188,224014,19.2,18.1,5.2,2.31
1920,43646400,1126849,555326,571523,19.2,14,13.1,3.08
1921,43904100,1001725,544140,457585,22.8,12.4,10.4,2.69
1922,44331500,924740,579480,345260,20.9,13.1,7.8,2.44
1923,44563100,900130,526858,373272,20.2,11.8,8.4,2.38
1924,44885600,865329,563891,301438,19.3,12.6,6.7,2.28
1925,45040000,842405,558132,284273,18.7,12.4,6.3,2.2
1926,45217600,825174,536411,288763,18.2,11.9,6.4,2.15
1927,45432000,777520,568655,208865,17.1,12.5,4.6,2.01
1928,45622200,783052,543664,239388,17.2,11.9,5.2,2.01
1929,45731000,761963,623231,138732,16.7,13.6,3,1.95
1930,45888900,769239,536860,232379,16.8,11.7,5.1,1.95
1931,46073600,749974,573908,176066,16.3,12.5,3.8,1.89
1932,46335000,730079,567986,162093,15.8,12.3,3.5,1.83
1933,46520000,691560,579467,112093,14.9,12.5,2.4,1.72
1934,46666000,711483,558072,153411,15.2,12,3.3,1.76
1935,46869500,711426,561324,150102,15.2,12,3.2,1.75
1936,47081300,720129,580942,139187,15.3,12.3,3,1.77
1937,47288600,723779,597798,125981,15.3,12.6,2.7,1.79
1938,47494100,735573,559598,175975,15.5,11.8,3.7,1.84
1939,47547700,726632,581857,144775,15.3,12.2,3,1.84
1940,46026200,701875,673253,28622,15.2,14.6,0.6,1.74
1941,44870400,695726,627378,68348,15.5,14,1.5,1.72
1942,44323000,771851,562356,209495,17.4,12.7,4.7,1.93
1943,48261000,810524,585582,224942,16.8,12.1,4.7,2.03
1944,48261600,878298,573570,303728,18.2,11.9,6.3,2.25
1945,48668900,795868,567027,228841,16.4,11.7,4.7,2.05
1946,48987800,955266,573361,381905,19.5,11.7,7.8,2.47
1947,49538700,1025427,600728,424699,20.7,12.1,8.6,2.69
1948,50033200,905182,546002,359180,18.1,10.9,7.2,2.39
1949,,855298,589876,265422,17,11.7,5.3,2.26
1950,50381500,818421,590136,228285,16.2,11.7,4.5,2.08
1951,50286900,796645,632786,163859,15.8,12.6,3.3,2.1
1952,50429200,792917,573806,219111,15.7,11.4,4.3,2.15
1953,50592900,804269,577220,227049,15.9,11.4,4.5,2.2
1954,50764900,794769,578400,216369,15.7,11.4,4.3,2.26
1955,50946100,789315,595916,193399,15.5,11.7,3.8,2.33
1956,51183500,825137,597981,227156,16.1,11.7,4.4,2.4
1957,51430200,851466,591200,260266,16.6,11.5,5.1,2.48
1958,51652500,870497,604040,266457,16.9,11.7,5.2,2.55
1959,51956300,878561,606115,272446,16.9,11.7,5.2,2.63
1960,52372500,918286,603328,314958,17.5,11.5,6,2.71
1961,52807400,944365,631788,312577,17.9,12,5.9,2.78
1962,53291800,975635,636051,339584,18.3,11.9,6.4,2.87
