geography code,Region,LA,In employment,Work at home,"Underground, tram",Train,Bus,Taxi,Motorcycle,Driving a car,Passenger in a car,Bicycle,On foot,Other,Not in employment,Year
E06000047,North East,County Durham,203614,16952,190,1062,15327,1230,1256,121690,21599,1888,21178,1242,n/a,2001
E06000005,North East,Darlington,42993,3553,35,482,4363,419,274,24105,3477,949,5085,251,n/a,2001
E08000020,North East,Gateshead,78786,5482,3672,529,13723,442,480,39442,6853,816,6972,375,n/a,2001
E06000001,North East,Hartlepool,33762,2199,44,179,2831,620,245,18817,3627,937,3935,328,n/a,2001
E06000002,North East,Middlesbrough,49317,3185,46,316,5543,434,403,27088,4852,1251,5791,408,n/a,2001
E08000021,North East,Newcastle upon Tyne,101498,7066,5591,950,19156,889,487,46561,7233,1781,11235,549,n/a,2001
E08000022,North East,North Tyneside,83698,6053,6979,1032,8489,835,623,43032,7037,1692,7092,834,n/a,2001
E06000048,North East,Northumberland,136083,14687,715,1132,8331,501,891,79137,11819,2176,15519,1175,n/a,2001
E06000003,North East,Redcar and Cleveland,54295,3898,48,656,4325,267,488,32677,4951,1052,5404,529,n/a,2001
E08000023,North East,South Tyneside,58899,3743,3983,1059,7442,323,434,29258,4862,1143,5543,1109,n/a,2001
E06000004,North East,Stockton-on-Tees,75904,5449,61,460,5911,346,690,47679,6767,1576,6302,663,n/a,2001
E08000024,North East,Sunderland,114119,7041,902,1262,17783,807,696,60728,11312,1525,11215,848,n/a,2001
E07000026,North West,Allerdale,41814,5117,16,172,1608,139,250,24272,3811,672,5519,238,n/a,2001
E07000027,North West,Barrow-in-Furness,28849,1958,12,413,2092,277,722,14317,2531,1707,4646,174,n/a,2001
E06000008,North West,Blackburn with Darwen,53575,4355,32,504,3875,918,480,30589,4946,622,7062,192,n/a,2001
E06000009,North West,Blackpool,59073,6081,239,409,5743,743,639,29571,5050,1885,8287,426,n/a,2001
E08000001,North West,Bolton,114415,9065,207,2740,9121,878,1184,68431,9436,1413,11587,353,n/a,2001
E07000117,North West,Burnley,38098,2806,18,188,3221,258,306,21533,4056,430,5165,117,n/a,2001
E08000002,North West,Bury,83847,6734,3632,416,6064,688,704,51628,5789,1047,6847,298,n/a,2001
E07000028,North West,Carlisle,46858,4645,18,179,4008,203,318,25440,3507,1262,7061,217,n/a,2001
E06000049,North West,Cheshire East,169143,18422,184,3187,3365,590,1668,110153,9792,5767,15270,745,n/a,2001
E06000050,North West,Cheshire West and Chester,149443,13767,183,1838,6388,839,1595,96271,10284,4465,12993,820,n/a,2001
E07000118,North West,Chorley,49200,4583,27,864,1645,198,489,32233,3595,865,4521,180,n/a,2001
E07000029,North West,Copeland,29222,2562,14,404,1889,133,243,17277,3120,455,2975,150,n/a,2001
E07000030,North West,Eden,24752,4805,17,100,557,81,122,13536,1438,330,3574,192,n/a,2001
E07000119,North West,Fylde,32215,3156,27,359,1238,146,294,19968,2095,1106,3587,239,n/a,2001
E06000006,North West,Halton,50363,3100,28,631,3584,326,539,31438,4563,1023,4923,208,n/a,2001
E07000120,North West,Hyndburn,34773,2625,5,192,2333,218,345,21125,3159,437,4233,101,n/a,2001
E08000011,North West,Knowsley,54351,2966,108,2204,7200,1055,417,29320,4886,904,5037,254,n/a,2001
E07000121,North West,Lancaster,55906,5428,33,739,3114,392,696,30834,4117,2150,8017,386,n/a,2001
E08000012,North West,Liverpool,154817,8700,618,4636,32835,1939,923,73707,11629,2686,16393,751,n/a,2001
E08000003,North West,Manchester,142449,9318,1792,1924,31599,1676,805,64769,9181,4610,16163,612,n/a,2001
E08000004,North West,Oldham,92775,7215,161,1325,10436,910,611,52682,7980,1006,10115,334,n/a,2001
E07000122,North West,Pendle,37042,3011,9,164,2377,268,238,21705,3268,591,5253,158,n/a,2001
E07000123,North West,Preston,56203,4138,37,403,6307,287,508,31375,4189,1463,7258,238,n/a,2001
E07000124,North West,Ribble Valley,26407,3425,8,176,573,52,231,17022,1492,522,2785,121,n/a,2001
E08000005,North West,Rochdale,86867,6728,214,1208,7771,1418,712,50757,7349,1043,9323,344,n/a,2001
E07000125,North West,Rossendale,29877,2651,39,94,2074,109,265,19124,2353,211,2857,100,n/a,2001
E08000006,North West,Salford,89920,6630,1025,966,10563,1338,815,48867,7207,2042,10134,333,n/a,2001
E08000014,North West,Sefton,116315,8734,350,6765,9282,1775,944,65043,8347,3365,11096,614,n/a,2001
E07000031,North West,South Lakeland,48413,7309,34,442,951,175,486,26381,2995,1505,7783,352,n/a,2001
