Region,LA,All usual residents,Age 0 to 4,Age 5 to 7,Age 8 to 9,Age 10 to 14,Age 15,Age 16 to 17,Age 18 to 19,Age 20 to 24,Age 25 to 29,Age 30 to 44,Age 45 to 59,Age 60 to 64,Age 65 to 74,Age 75 to 84,Age 85 to 89,Age 90 and over,Mean Age,Median Age
North East,County Durham,"513,242","28,574","15,818","9,841","27,869","5,882","12,107","15,278","35,155","30,628","96,150","108,200","35,395","50,883","30,635","7,321","3,506",41,42
North East,Darlington,"105,564","6,579","3,790","2,284","6,224","1,330","2,721","2,357","6,071","6,607","20,917","21,560","6,685","9,717","6,172","1,740",810,40.2,41
North East,Gateshead,"200,214","11,869","6,323","3,987","10,880","2,439","4,778","4,953","12,104","14,059","40,466","40,515","12,596","18,608","12,412","2,897","1,328",40.5,40
North East,Hartlepool,"92,028","5,698","3,202","1,990","5,653","1,257","2,570","2,451","5,955","5,622","16,869","19,326","5,837","8,174","5,568","1,323",533,39.8,40
North East,Middlesbrough,"138,412","9,431","5,178","3,098","8,485","1,811","3,747","4,506","11,690","9,765","25,414","27,065","7,531","10,833","7,393","1,658",807,37.8,37
North East,Newcastle upon Tyne,"280,177","16,522","8,534","5,501","14,488","2,929","6,156","13,311","36,012","22,948","51,972","48,952","14,133","19,380","13,857","3,578","1,904",36.9,33
North East,North Tyneside,"200,801","11,732","6,577","4,076","10,921","2,407","4,631","4,421","10,908","12,411","41,644","42,719","13,059","18,096","12,487","3,155","1,557",40.9,41
North East,Northumberland,"316,028","16,003","9,863","6,482","17,677","3,841","7,631","6,992","16,224","16,187","56,156","71,135","24,533","34,366","21,018","5,233","2,687",42.8,45
North East,Redcar and Cleveland,"135,177","7,553","4,362","2,736","7,803","1,712","3,608","3,515","8,092","7,628","24,120","28,285","9,511","14,418","8,721","2,133",980,41.5,43
North East,South Tyneside,"148,127","8,182","4,619","2,932","8,233","1,961","3,735","3,797","9,447","8,901","27,436","32,394","9,637","13,634","9,632","2,503","1,084",41.2,42
North East,Stockton-on-Tees,"191,610","12,322","6,824","4,149","11,457","2,355","5,168","5,296","12,651","12,602","37,535","39,652","11,648","16,102","10,368","2,429","1,052",39.1,39
