geography code,Region,LA,In employment,Work at home,"Underground, tram",Train,Bus,Motorcycle,Driving a car,Passenger in a car,Taxi,Bicycle,On foot,Other
E06000047,North East,County Durham,"203,614","16,952",190,"1,062","15,327","1,256","121,690","21,599","1,230","1,888","21,178","1,242"
E06000005,North East,Darlington,"42,993","3,553",35,482,"4,363",274,"24,105","3,477",419,949,"5,085",251
E08000020,North East,Gateshead,"78,786","5,482","3,672",529,"13,723",480,"39,442","6,853",442,816,"6,972",375
E06000001,North East,Hartlepool,"33,762","2,199",44,179,"2,831",245,"18,817","3,627",620,937,"3,935",328
E06000002,North East,Middlesbrough,"49,317","3,185",46,316,"5,543",403,"27,088","4,852",434,"1,251","5,791",408
E08000021,North East,Newcastle upon Tyne,"101,498","7,066","5,591",950,"19,156",487,"46,561","7,233",889,"1,781","11,235",549
E08000022,North East,North Tyneside,"83,698","6,053","6,979","1,032","8,489",623,"43,032","7,037",835,"1,692","7,092",834
E06000048,North East,Northumberland,"136,083","14,687",715,"1,132","8,331",891,"79,137","11,819",501,"2,176","15,519","1,175"
E06000003,North East,Redcar and Cleveland,"54,295","3,898",48,656,"4,325",488,"32,677","4,951",267,"1,052","5,404",529
E08000023,North East,South Tyneside,"58,899","3,743","3,983","1,059","7,442",434,"29,258","4,862",323,"1,143","5,543","1,109"
E06000004,North East,Stockton-on-Tees,"75,904","5,449",61,460,"5,911",690,"47,679","6,767",346,"1,576","6,302",663
E08000024,North East,Sunderland,"114,119","7,041",902,"1,262","17,783",696,"60,728","11,312",807,"1,525","11,215",848
E07000026,North West,Allerdale,"41,814","5,117",16,172,"1,608",250,"24,272","3,811",139,672,"5,519",238
E07000027,North West,Barrow-in-Furness,"28,849","1,958",12,413,"2,092",722,"14,317","2,531",277,"1,707","4,646",174
E06000008,North West,Blackburn with Darwen,"53,575","4,355",32,504,"3,875",480,"30,589","4,946",918,622,"7,062",192
E06000009,North West,Blackpool,"59,073","6,081",239,409,"5,743",639,"29,571","5,050",743,"1,885","8,287",426
E08000001,North West,Bolton,"114,415","9,065",207,"2,740","9,121","1,184","68,431","9,436",878,"1,413","11,587",353
E07000117,North West,Burnley,"38,098","2,806",18,188,"3,221",306,"21,533","4,056",258,430,"5,165",117
E08000002,North West,Bury,"83,847","6,734","3,632",416,"6,064",704,"51,628","5,789",688,"1,047","6,847",298
E07000028,North West,Carlisle,"46,858","4,645",18,179,"4,008",318,"25,440","3,507",203,"1,262","7,061",217
E06000049,North West,Cheshire East,"169,143","18,422",184,"3,187","3,365","1,668","110,153","9,792",590,"5,767","15,270",745
