geography code,Region,LA,In employment,Work at home,"Underground, tram",Train,Bus,Taxi,Motorcycle,Driving a car,Passenger in a car,Bicycle,On foot,Other,Not in employment
E06000047,North East,County Durham,"227,894","20,652",323,"1,865","13,732","1,401","1,038","146,644","17,362","2,205","21,490","1,182","155,902"
E06000005,North East,Darlington,"49,014","4,180",33,828,"3,380",403,191,"28,981","3,337","1,151","6,284",246,"27,621"
E08000020,North East,Gateshead,"91,877","6,383","4,270",705,"13,909",453,364,"50,236","5,830","1,314","7,966",447,"56,202"
E06000001,North East,Hartlepool,"37,767","2,473",33,469,"2,556",673,175,"22,863","3,157",706,"4,305",357,"29,037"
E06000002,North East,Middlesbrough,"54,547","3,337",44,698,"4,868",902,195,"31,155","4,639","1,375","6,769",565,"46,004"
E08000021,North East,Newcastle upon Tyne,"119,335","8,430","6,304","1,381","21,728","1,037",345,"54,165","6,706","3,223","15,302",714,"93,529"
E08000022,North East,North Tyneside,"96,026","6,997","8,523","1,385","8,606",748,471,"52,543","5,951","2,345","7,559",898,"51,863"
E06000048,North East,Northumberland,"146,901","17,894",659,"1,852","7,593",523,682,"90,566","9,283","2,074","14,632","1,143","86,323"
E06000003,North East,Redcar and Cleveland,"56,354","4,034",43,"1,175","3,314",388,255,"36,281","3,976",875,"5,335",678,"42,823"
E08000023,North East,South Tyneside,"64,622","3,875","5,681","1,090","6,194",303,341,"35,011","3,774","1,396","5,749","1,208","44,359"
E06000004,North East,Stockton-on-Tees,"87,122","6,376",97,"1,115","5,023",593,410,"57,793","6,014","1,693","7,101",907,"53,532"
E08000024,North East,Sunderland,"121,511","7,705","2,762",894,"15,151",740,520,"70,607","9,356","1,588","11,310",878,"84,041"
E07000026,North West,Allerdale,"46,076","6,025",22,374,"1,730",106,228,"27,790","3,415",694,"5,496",196,"24,902"
E07000027,North West,Barrow-in-Furness,"31,257","2,009",33,515,"1,593",426,542,"16,727","2,277","1,620","5,302",213,"19,846"
E06000008,North West,Blackburn with Darwen,"60,523","4,930",42,956,"3,240","1,097",315,"36,700","4,916",592,"7,460",275,"43,894"
E06000009,North West,Blackpool,"61,419","6,173",40,512,"5,174",565,551,"32,816","4,578","1,916","8,705",389,"42,394"
E08000001,North West,Bolton,"123,367","10,086",274,"4,384","8,200","1,537",792,"76,681","8,189","1,261","11,435",528,"77,356"
E07000117,North West,Burnley,"38,133","2,941",20,238,"3,170",316,212,"23,316","2,991",397,"4,375",157,"25,243"
E08000002,North West,Bury,"88,036","7,689","4,234",523,"5,671",690,455,"55,361","4,819","1,176","7,094",324,"46,651"
E07000028,North West,Carlisle,"53,874","5,464",30,304,"3,691",174,294,"30,673","3,377","1,390","8,245",232,"25,657"
E06000049,North West,Cheshire East,"181,136","23,337",254,"4,971","3,267",504,"1,169","116,931","8,993","4,666","16,282",762,"89,817"
E06000050,North West,Cheshire West and Chester,"160,138","17,178",257,"3,114","5,477",783,"1,001","103,898","8,767","4,200","14,669",794,"83,017"
E07000118,North West,Chorley,"53,702","5,827",34,"1,261","1,575",135,375,"36,378","2,941",761,"4,227",188,"26,249"
E07000029,North West,Copeland,"32,891","2,782",18,519,"1,532",152,272,"20,877","3,086",554,"2,958",141,"19,811"
E07000030,North West,Eden,"27,461","5,771",20,206,578,67,86,"15,360","1,311",326,"3,601",135,"11,274"
E07000119,North West,Fylde,"34,510","4,055",32,416,"1,339",139,235,"22,153","1,690",959,"3,325",167,"20,034"
E06000006,North West,Halton,"57,577","3,696",38,"1,081","3,787",321,351,"37,640","3,988","1,191","5,221",263,"35,131"
E07000120,North West,Hyndburn,"35,993","2,860",9,325,"2,247",360,239,"23,076","2,576",398,"3,751",152,"22,363"
E08000011,North West,Knowsley,"61,691","3,531",162,"3,448","6,806","1,195",275,"34,717","4,682",962,"5,569",344,"44,464"
E07000121,North West,Lancaster,"62,832","6,644",53,"1,252","3,707",341,533,"34,942","3,810","2,497","8,706",347,"40,464"
E08000012,North West,Liverpool,"196,630","12,180","1,081","9,707","38,027","2,574",780,"91,570","11,587","3,970","23,991","1,163","160,246"
E08000003,North West,Manchester,"213,705","15,288","2,841","5,663","46,652","1,810",841,"91,871","9,828","8,426","29,347","1,138","169,227"
E08000004,North West,Oldham,"96,300","7,349",121,"1,115","10,269",971,489,"57,766","7,097",993,"9,622",508,"63,465"
E07000122,North West,Pendle,"39,324","3,370",19,287,"2,092",353,185,"24,451","2,868",498,"5,019",182,"25,116"
E07000123,North West,Preston,"64,180","5,038",44,865,"7,148",345,418,"35,956","4,324","1,449","8,299",294,"39,905"
